FamilyCaseID,RoundNumber,
HOL035459,9,
HOL037367,9,
HOL032377,9,
HOL035428,9,
HOL035461,9,
HOL037323,9,
HOL024194,9,
HOL025393,9,
HOL030897,9,
HOL037371,9,
HOL035880,9,
HOL030875,9,
HOL039675,9,
HOL033928,9,
HOL033925,9,
HOL033932,9,
HOL035905,9,
HOL034906,9,
HOL036678,9,
HOL033924,9,
HOL029568,9,
HOL030554,9,
HOL029552,9,
HOL029527,9,
HOL029571,9,
HOL030648,9,
HOL031120,9,
HOL038951,9,
HOL034270,9,
HOL036800,9,
HOL033671,9,
HOL040692,9,
HOL039222,9,
HOL032893,9,
HOL036281,9,
HOL030805,9,
HOL028389,9,
HOL040832,9,
HOL037054,9,
HOL037670,9,
HOL030899,9,
HOL033362,9,
HOL031836,9,
HOL027262,9,
HOL034013,9,
HOL025316,9,
HOL033192,9,
HOL036106,9,
HOL040364,9,
HOL040884,9,
HOL017295,9,
HOL035099,9,
HOL031830,9,
HOL032884,9,
HOL036615,9,
HOL034478,9,
HOL033961,9,
HOL026944,9,
HOL025134,9,
HOL037733,9,
HOL034253,9,
HOL036539,9,
HOL030870,9,
HOL037589,9,
HOL040748,9,
HOL040111,9,
HOL031815,9,
HOL040110,9,
HOL036562,9,
HOL027315,9,
HOL031128,9,
HOL033994,9,
HOL035497,9,
HOL035173,9,
HOL027319,9,
HOL030417,9,
HOL040418,9,
HOL037603,9,
HOL027615,9,
HOL030880,9,
HOL030515,9,
HOL034971,9,
HOL036532,9,
HOL033605,9,
HOL030450,9,
HOL030004,9,
HOL022283,9,
HOL026091,9,
HOL023906,9,
HOL025338,9,
HOL029643,9,
HOL029789,9,
HOL029779,9,
HOL029780,9,
HOL029645,9,
HOL035327,9,
HOL019505,9,
HOL029784,9,
HOL019506,9,
HOL040630,9,
HOL019510,9,
HOL029782,9,
HOL039994,9,
HOL039995,9,
HOL040834,9,
HOL036814,9,
HOL029730,9,
HOL026249,9,
HOL026249,9,
HOL019499,9,
HOL034986,9,
HOL029569,9,
HOL022276,9,
HOL029532,9,
HOL031448,9,
HOL024769,9,
HOL034477,9,
HOL032531,9,
HOL034408,9,
HOL024624,9,
HOL026424,9,
HOL023781,9,
HOL026422,9,
HOL023914,9,
HOL024787,9,
HOL023885,9,
HOL029401,9,
HOL029405,9,
HOL030145,9,
HOL038308,9,
HOL030425,9,
HOL030494,9,
HOL029687,9,
HOL036166,9,
HOL031900,9,
HOL030158,9,
HOL038619,9,
HOL032954,9,
HOL025110,9,
HOL025304,9,
HOL029567,9,
HOL025287,9,
HOL017758,9,
HOL033499,9,
HOL025327,9,
HOL018194,9,
HOL018328,9,
HOL018189,9,
HOL035009,9,
HOL025245,9,
HOL020973,9,
HOL025116,9,
HOL029239,9,
HOL026429,9,
HOL025218,9,
HOL029370,9,
HOL040929,9,
HOL029366,9,
HOL026359,9,
HOL025368,9,
HOL031237,9,
HOL025008,9,
HOL029404,9,
HOL022255,9,
HOL023972,9,
HOL031249,9,
HOL022808,9,
HOL025286,9,
HOL030019,9,
HOL029539,9,
HOL028612,9,
HOL038322,9,
HOL018225,9,
HOL018186,9,
HOL032508,9,
HOL029999,9,
HOL025828,9,
HOL034536,9,
HOL028968,9,
HOL017793,9,
HOL027849,9,
HOL039469,9,
HOL039172,9,
HOL030395,9,
HOL019385,9,
HOL027592,9,
HOL027048,9,
HOL022325,9,
HOL022321,9,
HOL024610,9,
HOL027848,9,
HOL017757,9,
HOL033711,9,
HOL024603,9,
HOL035393,9,
HOL038447,9,
HOL029560,9,
HOL018167,9,
HOL018178,9,
HOL018170,9,
HOL018177,9,
HOL017014,9,
HOL035302,9,
HOL018196,9,
HOL039707,9,
HOL034489,9,
HOL037620,9,
HOL0355914,9,
HOL035221,9,
HOL030034,9,
HOL026778,9,
HOL034161,9,
HOL032959,9,
HOL017791,9,
HOL035894,9,
HOL040475,9,
HOL040775,9,
HOL024676,9,
HOL034223,9,
HOL017798,9,
HOL039462,9,
HOL030643,9,
HOL038444,9,
HOL032187,9,
HOL032180,9,
HOL028924,9,
HOL021949,9,
HOL031193,9,
HOL035298,9,
HOL035932,9,
HOL029597,9,
HOL029384,9,
HOL034599,9,
HOL021755,9,
HOL025196,9,
HOL017431,9,
HOL036509,9,
HOL032875,9,
HOL038423,9,
HOL017950,9,
HOL017954,9,
HOL028891,9,
HOL027498,9,
HOL040289,9,
HOL031132,9,
HOL018479,9,
HOL018466,9,
HOL030455,9,
HOL031882,9,
HOL031716,9,
HOL029195,9,
HOL029195,9,
HOL06470,9,
HOL031488,9,
HOL027350,9,
HOL028660,9,
HOL035258,9,
HOL034303,9,
HOL026958,9,
HOL026849,9,
HOL035949,9,
HOL031093,9,
HOL030095,9,
HOL011545,9,
HOL019197,9,
HOL019552,9,
HOL024152,9,
HOL028725,9,
HOL013011,9,
HOL031905,9,
HOL031725,9,
HOL034379,9,
Hol032741,9,
Hol037363,9,
Hol013341,9,
Hol020559,9,
Hol021001,9,
Hol021185,9,
Hol021046,9,
Hol021376,9,
Hol019177,9,
Hol039540,9,
Hol033097,9,
Hol038385,9,
Hol031123,9,
Hol039281,9,
Hol031124,9,
Hol027260,9,
Hol022807,9,
Hol026042,9,
Hol029037,9,
Hol010337,9,
Hol021761,9,
Hol028079,9,
Hol024059,9,
Hol002028,9,
Hol022307,9,
Hol033301,9,
Hol026840,9,
Hol028678,9,
Hol027929,9,
Hol021466,9,
Hol022494,9,
Hol036385,9,
Hol029234,9,
Hol037786,9,
Hol029371,9,
Hol027812,9,
Hol023610,9,
Hol025526,9,
Hol024283,9,
Hol024316,9,
Hol023671,9,
Hol029944,9,
Hol026662,9,
Hol028695,9,
Hol031533,9,
Hol027229,9,
Hol031378,9,
Hol016329,9,
