FamilyCaseID,RoundNumber
THC01988,5
THC03607,5
THC01443,5
THC02132,5
THC02555,5
THC02556,5
THC02576,5
THC02586,5
THC02604,5
THC02629,5
THC02649,5
THC02736,5
THC02966,5
THC03028,5
THC03038,5
THC03045,5
THC03084,5
THC03092,5
THC03098,5
THC03099,5
THC03101,5
THC03109,5
THC03613,5
THC03614,5
THC03618,5
THC03622,5
THC03645,5
THC03652,5
THC00037,5
THC00047,5
THC00216,5
THC00368,5
THC00545,5
THC00603,5
THC00634,5
THC00844,5
THC00928,5
THC00996,5
THC01276,5
THC01410,5
THC01445,5
THC01727,5
THC01777,5
THC02019,5
THC02117,5
THC02120,5
THC02159,5
THC02199,5
THC02254,5
THC02261,5
THC02367,5
THC02436,5
THC02507,5
THC02579,5
THC02965,5
THC02968,5
THC03030,5
THC03033,5
THC03043,5
THC03091,5
THC03103,5
THC03107,5
THC03114,5
THC03458,5
THC03620,5
THC03648,5
THC03650,5
THC00057,5
THC00147,5
THC00174,5
THC00187,5
THC00263,5
THC00543,5
THC01223,5
THC01593,5
THC01961,5
THC02195,5
THC02269,5
THC02405,5
THC02589,5
THC02673,5
THC02729,5
THC03117,5
THC03132,5
THC03134,5
THC03138,5
THC03621,5
THC00078,5
THC02037,5
THC02602,5
THC03080,5
THC03087,5
THC03094,5
THC03455,5
THC03647,5
THC00005A,5
THC00005B,5
THC00006A,5
THC00006B,5
THC00429A,5
THC00429B,5
THC00703A,5
THC00703B,5
THC00728A,5
THC00728B,5
THC01098A,5
THC01098B,5
THC01228A,5
THC01228B,5
THC01281A,5
THC01281B,5
THC01584A,5
THC01584B,5
THC01697A,5
THC01697B,5
THC01769A,5
THC01769B,5
THC01772A,5
THC01772B,5
THC01815A,5
THC01815B,5
THC02006A,5
THC02006B,5
THC02041A,5
THC02041B,5
THC02124A,5
THC02124B,5
THC02161A,5
THC02161B,5
THC02255A,5
THC02255B,5
THC02417A,5
THC02417B,5
THC02499A,5
THC02499B,5
THC02504A,5
THC02504B,5
THC02508A,5
THC02508B,5
THC02737A,5
THC02737B,5
THC03026A,5
THC03026B,5
THC03029A,5
THC03029B,5
THC03035A,5
THC03035B,5
THC03036A,5
THC03036B,5
THC03039A,5
THC03039B,5
THC03041A,5
THC03041B,5
THC03049A,5
THC03049B,5
THC03088A,5
THC03088B,5
THC03090A,5
THC03090B,5
THC03106A,5
THC03106B,5
THC03113A,5
THC03113B,5
THC03453A,5
THC03453B,5
THC03454A,5
THC03454B,5
THC00046A,5
THC00046B,5
THC00149A,5
THC00149B,5
THC00173A,5
THC00173B,5
THC00202A,5
THC00202B,5
THC00267A,5
THC00267B,5
THC00669A,5
THC00669B,5
THC00776A,5
THC00776B,5
THC01402A,5
THC01402B,5
THC01767A,5
THC01767B,5
THC01775A,5
THC01775B,5
THC02047A,5
THC02047B,5
THC02089A,5
THC02089B,5
THC02268A,5
THC02268B,5
THC02273A,5
THC02273B,5
THC02590A,5
THC02590B,5
THC02967A,5
THC02967B,5
THC03031A,5
THC03031B,5
THC03053A,5
THC03053B,5
THC03115A,5
THC03115B,5
THC01661A,5
THC01661B,5
THC02414A,5
THC02414B,5
THC03047A,5
THC03047B,5
THC01285A,5
THC01285B,5
THC02310A,5
THC02310B,5
THC_02322,5
THC_03693A,5
THC_03693B,5
THC_03694,5
THC_03695,5
THC_03696,5
THC_03697A,5
THC_03697B,5
THC_03698,5
THC_03699,5
THC_03700,5
THC_03701,5
THC_03702,5
THC_03703,5
THC_03704,5
THC_03705,5
THC_03706,5
THC_03707,5
THC_03708,5
THC_03709,5
THC_03710,5
THC_03711,5
THC_03712,5
THC_03713,5
THC_03714,5
THC_03715A,5
THC_03715B,5
THC02122,5
THC03716,5
THC03718,5
THC03719,5
THC03720,5
THC03721A,5
THC03721B,5
THC03722A,5
THC03722B,5
THC03723,5
THC03724,5
THC03725,5
THC03726,5
THC03727,5
THC03728,5
THC03729A,5
THC03729B,5
THC03730,5
THC03731,5
THC03732,5
THC03733,5
THC03734,5
THC03736,5
THC03737,5
THC03738A,5
THC03738B,5
THC03739,5
