FamilyCaseID,RoundNumber
16,3
350,3
942,3
943,3
929,3
355,3
342,3
854,3
2762,3
437,3
1993,3
1012,3
1885,3
1380,3
1241,3
1120,3
1391,3
1742,3
255,3
460,3
857,3
66,3
427,3
2781,3
250,3
2753,3
2744,3
1492,3
2335,3
1673,3
1646,3
1750,3
397,3
876,3
2575,3
1553,3
394,3
32,3
1657,3
906,3
1,3
2280,3
1476,3
2694,3
1853,3
361,3
1899,3
2259,3
748,3
4562,3
1846,3
1385,3
1738,3
2884,3
1932,3
1209,3
2713,3
2562,3
2418,3
2725,3
2035,3
2553,3
1947,3
2236,3
2765,3
2174,3
503,3
923,3
2635,3
1615,3
159,3
729,3
732,3
2091,3
1927,3
2891,3
1667,3
2718,3
2759,3
668,3
1323,3
2014,3
339,3
924,3
935,3
2138,3
733,3
2794,3
1710,3
1072,3
123,3
23,3
1630,3
2240,3
2249,3
1826,3
2442,3
1903,3
2424,3
1162,3
108,3
506,3
2370,3
1122,3
1782,3
766,3
926,3
927,3
1631,3
996,3
920,3
328,3
335,3
909,3
2218,3
1381,3
2440,3
457,3
2117,3
2905,3
2779,3
1104,3
2317,3
1607,3
925,3
982,3
642,3
2649,3
2053,3
204,3
1228,3
1014,3
1753,3
2388,3
961,3
2502,3
2563,3
65,3
426,3
2086,3
2533,3
1968,3
2470,3
1975,3
1732,3
64,3
2466,3
1777,3
2487,3
1371,3
2849,3
2625,3
1681,3
1778,3
364,3
2246,3
979,3
1566,3
2015,3
1181,3
2839,3
2642,3
988,3
2357,3
939,3
2508,3
2127,3
416,3
688,3
2710,3
806,3
1760,3
2686,3
1517,3
800,3
1521,3
2364,3
2693,3
2296,3
90,3
1403,3
2815,3
2885,3
2414,3
2379,3
2667,3
374,3
2038,3
1423,3
1759,3
1329,3
1434,3
2404,3
2767,3
1179,3
2428,3
2021,3
2578,3
2150,3
2472,3
2105,3
1440,3
2073,3
727,3
840,3
2458,3
2627,3
2576,3
2503,3
375,3
2570,3
605,3
1501,3
1627,3
2534,3
2495,3
2131,3
2185,3
765,3
2400,3
2406,3
2629,3
1303,3
1377,3
875,3
2755,3
1575,3
1575,3
2511,3
2529,3
1174,3
1374,3
685,3
2586,3
1386,3
1740,3
1272,3
2853,3
718,3
2565,3
1811,3
936,3
2251,3
2841,3
1071,3
1000,3
1650,3
1917,3
1473,3
1416,3
2308,3
2415,3
110,3
2099,3
1514,3
588,3
4591,3
2791,3
2403,3
626,3
2555,3
1271,3
2726,3
2581,3
1469,3
1930,3
2820,3
742,3
412,3
600,3
884,3
1672,3
419,3
263,3
